family,order_1,order_2,order_3,order_4,order_5,order_6
1.0,1,48,88,,,
1.0,2,38,53,60,74,
1.0,3,79,,,,
1.0,4,80,,,,
1.0,5,20,93,,,
1.0,6,25,30,62,,
2.0,7,14,27,29,57,97
1.0,8,35,56,61,70,81
1.0,9,42,67,,,
1.0,10,65,71,76,,
1.0,11,90,,,,
1.0,12,16,94,96,,
1.0,13,36,83,89,,
1.0,15,54,87,,,
1.0,17,47,78,85,,
1.0,18,98,,,,
1.0,19,34,51,86,,
1.0,21,95,,,,
1.0,22,33,40,,,
1.0,23,39,46,63,,
1.0,24,64,73,82,,
1.0,26,44,69,72,91,
1.0,28,55,58,68,77,
1.0,31,41,50,,,
1.0,32,43,52,,,
1.0,37,59,66,,,
1.0,45,75,84,,,
1.0,49,92,,,,
